artist_name,genres
Austin Mahone,"['dance pop', 'pop', 'post-teen pop', 'teen pop', 'viral pop']"
BRKN RBTZ
FO&O,"['bulgarian hip hop', 'swedish idol pop']"
Lionel Richie,"['adult standards', 'disco', 'mellow gold', 'motown', 'quiet storm', 'soft rock']",['karaoke']
Jason Chen,"['channel pop', 'post-teen pop', 'viral pop']"
Kenneth,['dutch house'],"['classical organ', 'harpsichord']"
Frankie Valli,"['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'folk rock', 'mellow gold', 'motown']","['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'doo-wop', 'folk rock', 'lounge', 'motown', 'northern soul', 'rock-and-roll']"
Daniel Padilla,['opm']
Blue Stahli,"['cyberpunk', 'industrial metal', 'industrial rock']"
Olivia O'Brien,"['dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']"
MKTO,"['australian pop', 'dance pop', 'pop', 'pop rap', 'post-teen pop']"
Love Cove
Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']"
Yiruma,['new age piano']
The Band Perry,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
Lotte Kestner,['indie psych-pop']
Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
JAY Z,"['bulgarian hip hop', 'east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Tova
Sarah Close
DJ Shadow,"['big beat', 'downtempo', 'electronic', 'hip hop', 'trip hop', 'turntablism']"
DJ Khaled,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']"
Gummy,"['k-pop', 'korean pop']"
