artist_name,song_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
T.I.,Off-set,40,193263,0.776,0.602,1,-7.093,1,0.0586,0.0225,0,0.102,0.251,121.028,4
Kid Ink,Ride Out,53,211908,0.696,0.801,5,-5.641,0,0.0952,0.0469,0,0.502,0.536,93.003,4
Bassnectar,Speakerbox (feat. Lafa Taylor),57,282272,0.507,0.934,8,-2.325,0,0.188,0.00943,0.0018,0.222,0.471,175.954,4
Pitbull,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,68,194880,0.694,0.957,9,-3.115,0,0.171,0.0243,3.4e-06,0.108,0.505,106.002,4
Lil Uzi Vert,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",55,217560,0.734,0.785,8,-2.819,0,0.0772,0.0229,0,0.259,0.726,88.511,4
Young Thug,"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",57,231658,0.631,0.732,1,-4.706,1,0.203,0.0304,0,0.261,0.549,151.779,4
G-Eazy,Good Life (with G-Eazy & Kehlani),65,225525,0.565,0.771,1,-5.22,1,0.213,0.00464,0,0.0568,0.573,168.385,4
Machine Gun Kelly,At My Best (feat. Hailee Steinfeld),4,200733,0.532,0.778,7,-6.69,0,0.218,0.00246,0.000111,0.153,0.252,169.923,4
Cheat Codes,No Promises (feat. Demi Lovato),75,223503,0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.595,112.956,4
The Chainsmokers,The One,56,177573,0.76,0.303,2,-11.362,1,0.0284,0.238,8.09e-06,0.294,0.15,99.991,4
Martin Jensen,Solo Dance,31,174933,0.744,0.836,6,-2.396,0,0.0507,0.0435,0,0.194,0.36,114.965,4
The Chainsmokers,Something Just Like This,77,247626,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,4
Tori Kelly,"Hallelujah - From ""Sing"" Original Motion Picture Soundtrack",11,207986,0.174,0.244,1,-9.074,0,0.0361,0.797,0,0.119,0.23,51.341,4
Jon Liddell,The One I'm Thinking Of,47,221958,0.735,0.175,6,-13.204,1,0.0383,0.845,0,0.101,0.604,142.861,4
Travis Atreo,Say You Won't Let Go,22,207157,0.449,0.261,10,-8.083,1,0.0536,0.859,0,0.106,0.416,170.063,1
Jason Chen,Rockabye,28,205453,0.485,0.675,8,-7.846,0,0.171,0.398,0.000105,0.221,0.237,203.573,4
Calum Scott,Dancing On My Own - Toby Green Remix,5,211926,0.764,0.676,6,-4.36,1,0.0308,0.151,0.00471,0.151,0.207,114.026,4
Joseph Vincent,That's What I Like,43,144241,0.801,0.161,4,-13.9,0,0.16,0.933,0,0.0971,0.678,139.991,4
Tyler Ward,Happier,41,184166,0.446,0.149,0,-12.728,1,0.0554,0.862,0,0.17,0.353,95.585,4
Bruno Mars,Grenade - Acoustic,61,249535,0.643,0.394,2,-6.305,0,0.0305,0.818,0,0.0888,0.364,97.911,4
Bruno Mars,It Will Rain,67,257720,0.576,0.835,2,-6.826,1,0.0486,0.337,0,0.082,0.476,150.017,4
Bruno Mars,Our First Time,54,243013,0.705,0.451,9,-8.221,0,0.0429,0.381,0,0.276,0.868,77.998,4
Bruno Mars,The Other Side - feat. CeeLo Green and B.o.B,54,227760,0.559,0.807,5,-3.887,0,0.0304,0.117,4.46e-06,0.148,0.543,140.081,4
Bruno Mars,Count On Me,70,197373,0.577,0.397,0,-5.98,1,0.028,0.84,0,0.0772,0.509,89.044,4
Bruno Mars,Liquor Store Blues (feat. Damian Marley),62,229373,0.691,0.824,1,-3.925,0,0.0731,0.11,0,0.353,0.685,75.516,4
Bruno Mars,Talking To The Moon,71,217866,0.523,0.606,1,-4.754,0,0.0301,0.512,0,0.106,0.065,145.837,4
Bruno Mars,Marry You,72,230120,0.62,0.832,10,-4.848,1,0.036,0.332,0,0.104,0.481,144.926,4
Bruno Mars,The Lazy Song,69,190213,0.738,0.804,11,-3.851,1,0.0621,0.332,0,0.279,0.949,174.943,4
Bruno Mars,Runaway Baby,62,147746,0.656,0.767,11,-3.038,1,0.0396,0.25,0,0.114,0.871,163.834,4
Bruno Mars,Grenade,73,223253,0.706,0.558,2,-7.237,0,0.0593,0.146,0,0.118,0.227,110.443,4
Bruno Mars,Moonshine,59,228573,0.705,0.784,2,-4.351,1,0.0279,0.211,4.3e-06,0.0813,0.418,104.98,4
Bruno Mars,Gorilla,68,244493,0.717,0.544,7,-6.598,1,0.0371,0.445,5.16e-06,0.0973,0.641,139.959,4
Bruno Mars,Young Girls,68,228720,0.561,0.749,6,-4.951,0,0.032,0.461,1.82e-06,0.205,0.501,125.986,4
